,state reward,moving average state reward,FMI,cmm similarity
174,-622.9573564052582,-611.2159053362963,0.7144204302626661,0.7525338
175,-374.12494098544124,-587.5068089012108,0.8654650706770103,0.96525097
176,-793.3847364097834,-608.094601652068,0.6853192681674931,0.71989965
177,-708.6225019723178,-618.147391684093,0.6974321694859262,0.8903941
178,-807.8316286355257,-637.1158153792363,0.6675055184417187,0.9313869
179,-480.576868596673,-621.46192070098,0.7532488339541347,0.8704082
180,-731.0108575940133,-632.4168143902834,0.7258888219070575,0.92478424
181,-350.943509054184,-604.2694838566736,0.8369217612150185,0.88840455
182,-530.9636506706477,-596.938900538071,0.8172637976994429,0.9132948
183,-412.5573564052582,-578.5007461247898,0.8082288913482683,0.92878944
184,-890.1944925278426,-609.6701207650951,0.6528495802365725,0.75074476
185,-610.9784421592951,-609.8009529045152,0.7250633840811961,0.9033019
186,-291.7718331962824,-577.998040933692,0.8487406198206493,0.983368
187,-654.9658536583186,-585.6948222061546,0.6148168907204055,0.5913829
188,-823.805507466197,-609.505890732159,0.6317524716567929,0.8544218
189,-954.2429582864047,-643.9795974875835,0.6834582543890686,0.9505095
190,-788.6366640359164,-658.4453041424168,0.7134435062856842,1.0
191,-610.975295034051,-653.6983032315802,0.7477918028897992,0.84139264
192,-794.9671125084162,-667.8251841592638,0.7256495960948911,0.82561576
193,-569.3966955155134,-657.9823352948888,0.7736292164334984,0.9492503
194,-1261.4511408269407,-718.329215848094,0.48497881127955894,0.7129771
195,-662.9693154960871,-712.7932258128934,0.7508454914994773,0.91402715
196,-606.9935483902693,-702.213258070631,0.7482051688024873,0.87395835
197,-563.0133752942086,-688.2932697929888,0.7172179854279203,0.97214484
198,-1036.6511408269405,-723.1290568963839,0.5827995696667714,0.83685803
199,-891.8404405862093,-740.0001952653665,0.6291074419027792,0.8505435
200,-435.7771833091974,-709.5778940697496,0.8379861953014955,0.98922414
201,-919.8089693188667,-730.6010015946614,0.6316181473389337,0.8978979
202,-668.5730920463801,-724.3982106398332,0.7749445157262049,0.889001
203,-786.1988985031844,-730.5782794261684,0.7501723488941221,0.9045505
204,-674.2344610482455,-724.9438975883761,0.6130897977677213,0.75195533
205,-1085.4574350923301,-760.9952513387716,0.5437112572498652,0.72727275
206,-755.7740361839533,-760.4731298232898,0.6156233489545253,0.6384863
207,-683.0146341443062,-752.7272802553914,0.7355228690709223,0.98899585
208,-583.0055074661971,-735.755102976472,0.760649900597804,0.9934811
209,-1056.6527143895626,-767.8448641177811,0.6216821306292997,0.85434175
210,-564.5951219528914,-747.5198899012921,0.7602450184313604,0.9128997
211,-231.7312352359295,-695.9410244347558,0.8963773041091896,0.93702126
212,-989.4398111611605,-725.2909031073964,0.620396874573373,0.85393256
213,-927.8347757607698,-745.5452903727337,0.6393498347616803,0.91212124
214,-288.5598741054535,-699.8467487460057,0.8914028371074849,1.0
215,-475.71707317233086,-677.4337811886382,0.8107884022446109,0.776204
216,-970.2486231267453,-706.7152653824489,0.6263999532194984,0.9384359
217,-510.2004720658064,-687.0637860507848,0.7779244905163809,0.97587454
218,-641.4121164441109,-682.4986190901174,0.7440741644678914,0.9571248
219,-1110.184421697259,-725.2671993508316,0.5748358219921126,0.70054644
220,-939.7944925278425,-746.7199286685327,0.7125428223698437,0.8459893
221,-848.6064516186715,-756.9085809635467,0.7426695287422072,0.9412485
222,-1010.2508261144162,-782.2428054786337,0.4738028985909575,0.61183435
223,-1223.864988192916,-826.4050237500619,0.48696006073221204,0.7598628
224,-1024.6121164441108,-846.2257330194668,0.6704211729278389,0.8337209
225,-527.015263569355,-814.3046860744556,0.7432868317391201,0.9501868
226,-930.2026750534774,-825.8944849723579,0.6325208639158703,0.6778639
227,-587.780645146966,-802.0831009898186,0.8215032149453645,0.9589905
228,-435.7403619289398,-765.4488270837307,0.7414086840150469,0.7800338
